datID,cohort,week,session,mouseID,expID,rawPath,firstTiff
77,coh1,w11,ses2_20220102,M91,contrast,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M91/20220102_group2_250umdown/contrast,M91_contrast_00001_00001.tif
78,coh1,w11,ses2_20220102,M91,DR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M91/20220102_group2_250umdown/DR,M91_DR_00001_00001.tif
79,coh1,w11,ses2_20220102,M91,OO,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M91/20220102_group2_250umdown/OO,M91_OO_00001_00001.tif
80,coh1,w11,ses2_20220102,M91,OR,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M91/20220102_group2_250umdown/OR,M91_OR_00001_00001.tif
81,coh1,w11,ses2_20220102,M91,RF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M91/20220102_group2_250umdown/RF,M91_RF_00001_00001.tif
82,coh1,w11,ses2_20220102,M91,SF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M91/20220102_group2_250umdown/SF,M91_SF_00001_00001.tif
83,coh1,w11,ses2_20220102,M91,TF,/mnt/Toshiba_16TB_1/1.1 cohort1_hsynG7f_11weeks_raw tiff/M91/20220102_group2_250umdown/TF,M91_TF_00001_00001.tif
84,coh1,w22,ses1_20211127,M11,contrast,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M11/20211127/Contrast,M11_Contrast_00001_00001.tif
85,coh1,w22,ses1_20211127,M11,DR,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M11/20211127/DR,M11_DR_00001_00001.tif
86,coh1,w22,ses1_20211127,M11,OO,/mnt/Toshiba_16TB_1/1.3 MeCP2_cohort1_22 weeks raw and processed/M11/20211127/OO,M11_oo_00001_00001.tif
